cluster_0	4	MCM7	SF3A1	SF3B1	SNRPA1
cluster_1	3	ACTN1	ACTN4	TPM1
cluster_2	3	ACTN1	ACTN4	TPM3
cluster_3	3	ACTN1	ACTN4	TPM4
cluster_4	3	ACTN1	ACTN4	VCP
cluster_5	3	ADAR	DHX9	HNRNPM
cluster_6	3	AMFR	DERL1	SYVN1
cluster_7	3	AMFR	HSPA5	SYVN1
cluster_8	3	AMFR	HTT	SYVN1
cluster_9	3	ATP5F1A	ATP5F1B	ATP5F1D
cluster_10	3	ATP5F1A	ATP5F1B	HSP90AB1
cluster_11	3	C1QBP	PHB1	PHB2
cluster_12	3	CALR	CALU	P4HB
cluster_13	3	CALR	CFTR	P4HB
cluster_14	3	CALR	EGFR	P4HB
cluster_15	3	CALR	HSP90B1	P4HB
cluster_16	3	CALR	P4HB	PTPRN
cluster_17	3	CENPF	TERF1	TERF2
cluster_18	3	EHD1	STX12	STX7
cluster_19	3	HNRNPH1	HNRNPK	VCP
cluster_20	3	MCM7	TERF1	TERF2
cluster_21	3	RAP1B	STX12	STX7
cluster_22	3	STX12	STX7	VAMP2
cluster_23	3	STX12	STX7	YKT6
cluster_24	3	TERF1	TERF2	U2AF2
cluster_25	4	SART1	SNRPA1	SNRPD1	TPR
cluster_26	3	ATP5F1A	ATP5F1B	PPT1
cluster_27	3	CALR	GANAB	P4HB
cluster_28	3	COIL	ICE1	SNRPA1
cluster_29	3	DHX9	HNRNPM	RBM8A
cluster_30	3	DHX9	HNRNPM	RNF168
cluster_31	3	GABARAPL1	MAP1LC3A	SNCA
cluster_32	3	PRPF3	SART1	TFIP11
cluster_33	3	RING1	TERF1	TERF2
cluster_34	3	TERF1	TERF2	XRCC5
cluster_35	4	ACIN1	PRPF6	SF3A1	SNRPA1
cluster_36	3	AMFR	DERL2	SYVN1
cluster_37	3	CDK2	MCM2	SNU13
cluster_38	3	CDK9	TERF1	TERF2
cluster_39	3	ENO2	ENO3	GAPDH
cluster_40	3	PAFAH1B2	RTCB	RTRAF
cluster_41	3	PHB1	PHB2	STOML2
cluster_42	3	STX12	STX5	STX7
cluster_43	3	LSM2	SNRPD1	SNRPD3
cluster_44	4	PRPF3	PRPF6	SART1	SNU13
cluster_45	3	HNRNPU	SNRNP70	TRA2A
cluster_46	3	RC3H2	UBE2B	UBE2V1
cluster_47	3	SEC22B	STX12	STX7
cluster_48	3	DDOST	DERL1	RPN1
cluster_49	3	SART1	SNRPA1	UPF3B
cluster_50	3	ALYREF	DHX9	HNRNPM
cluster_51	3	ATP5F1A	ATP5F1B	ATP6V1B2
cluster_52	3	CLNS1A	SNRPGP15	SNRPN
cluster_53	3	GOLGA2	STX12	STX7
cluster_54	3	HSPA5	SART1	SNRPD1
cluster_55	3	ATP5F1A	ATP5F1B	ZFYVE27
